content,sentiment
grab anjlok lah parah saya login gabisa bisa malah error harganya makin lama makin mahal tapi kualitasnya makin jelek  mengecewakan,-1
aplikasi bagus tapi sepi order,1
ini saya lagi di indralaya palembang kok gk bisa order grab food ya   ,1
suka bgttt karna banyak promonya,1
like banget sukses terus buat grab semoga tambah jaya,1
 milik indonesia ,1
bantu bangett,1
aplikasi b gua gak bisa masuk gua udah masukin nomor hp saya kemudian lanjut memasukkan kode tapi gak bisa,-1
pengalaman nya sungguh menyenangkan,1
promo gak bisa di gunakan driver nya sibuk terus,-1
oke ni,1
banyak promo diskon   the best,1
sngat menbantu tpi ko gc normal y harga y slalu berubah ubah,1
bs kenal dkt sama drivernya keren dh,1
